Series_ID,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
MLUQS00NR0110003,2052,1513,1385,1788,1888,3388,5403,2515,2343,2345
MLUQS00NR0120003,61,70,403,62,32,58,19,24,31,45
MLUQS00NR0130003,489,309,223,221,455,763,1074,511,415,418
MLUQS00NR0140003,783,680,550,597,397,517,573,397,313,313
MLUQS00NR0150003,106,102,97,94,84,107,62,54,94,75
MLUQS00NR0160003,1734,1788,1905,1725,1880,1982,2211,2417,2285,2217
MLUQS00NR0190003,796,548,318,398,627,1444,2482,1329,1115,1087
