Nursing and residential care facilities,80,80,110,33,40,73,73,99,107,85
Social assistance,255,295,295,288,304,324,365,394,418,400
Performing arts and spectator sports,153,153,156,139,149,150,184,172,171,148
"Museums, historical sites, zoos, and parks",,4,7,5,4,8,12,9,13,12
"Amusements, gambling, and recreation",127,130,130,101,87,153,193,182,154,169
Accommodations,307,307,312,246,243,386,602,411,358,325
Food services and drinking places,579,673,771,598,662,852,1004,975,936,896
Repair and maintenance,37,43,38,26,33,36,64,54,52,50
Personal and laundry services,63,53,72,37,39,43,68,53,38,34
Membership associations and organizations,117,102,90,83,83,95,110,111,103,95
