Series_ID,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
MLUQS17NR0113004,,,,,,,,,,
MLUQS18NR0113004,,,,,501,,,,,
MLUQS19NR0113004,,,,,,,,,,
MLUQS20NR0113004,,,,,,,,,,
MLUQS21NR0113004,,,,,,,467,,,
MLUQS22NR0113004,,,,,,,,,,
MLUQS23NR0113004,,,,,,,,,,
MLUQS24NR0113004,,,,,,,,,,
MLUQS25NR0113004,,,,,,,,,,
MLUQS26NR0113004,,,,,,,382,,,
MLUQS27NR0113004,,,,,,,,,,
MLUQS28NR0113004,,,,,,,,,,
MLUQS29NR0113004,,,,,,,,,,
MLUQS30NR0113004,,,,,,,,,,
MLUQS31NR0113004,,,,,,,,,,
MLUQS32NR0113004,,,,,,,,,,
MLUQS33NR0113004,,,,,,,,,,
MLUQS34NR0113004,,,,,,,,,,
MLUQS35NR0113004,,,,,,,,,,
MLUQS36NR0113004,,,,,,,,,,
MLUQS37NR0113004,,,,,,,,,,
MLUQS38NR0113004,,,,,,,,,,
MLUQS39NR0113004,,,,,,,,,,
MLUQS40NR0113004,,,,,,,,,,
MLUQS41NR0113004,,,,,,,,,,
MLUQS42NR0113004,,,,,,,,,,
MLUQS44NR0113004,,,,,,,,,,
MLUQS45NR0113004,,,,,,,,,,
MLUQS46NR0113004,,,,,,,,,,
MLUQS47NR0113004,,,,,,,,,,
MLUQS48NR0113004,,,,,,,,,,
MLUQS49NR0113004,,,,,,,,,,
MLUQS50NR0113004,,,,,,,,,,
MLUQS51NR0113004,,,,,,,,,,
MLUQS53NR0113004,,,,,,,,,,
MLUQS54NR0113004,,,,,,,,,,
MLUQS55NR0113004,,,,,,,,,,
MLUQS56NR0113004,,,,,,,,,,
MLUQS01NR0114004,,,,,,,,,,
MLUQS02NR0114004,,,,,,,,,,
MLUQS04NR0114004,,,,,,,,,,
MLUQS05NR0114004,,,,,548,,,,,
MLUQS06NR0114004,,,,,,,,325,,
MLUQS08NR0114004,,,,,,,,,,
